Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
"China, P.R.: Macao","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",11.2006,5.8842,0.5677,-4.7487,0.2388,0.4106,1.0873,1.943,2.5831
Mongolia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",11.6489,7.8852,2.3572,0.0415,0.9764,3.053,5.1297,8.5742,5.4674
Vanuatu,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.9691,0.5846,-0.8,4.0,4.5,4.0,3.5,3.0,3.0
Tuvalu,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.2923,2.2361,2.2467,2.2573,2.2679,2.3351,2.2167,2.1438,2.071
Tonga,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-0.5655,2.8969,3.4116,2.7263,2.7172,2.708,2.241,1.774,1.7842
"Timor-Leste, Dem. Rep. Of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.8757,5.8611,4.251,5.0,5.5,6.0,6.5,6.0002,5.5003
Solomon Islands,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.9794,1.9794,3.25,2.9991,3.2708,3.1331,2.9954,2.9988,3.2407
Japan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-1.9313,1.1961,1.6348,3.015,1.5091,2.0388,2.104,2.104,2.104
Papua New Guinea,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.7348,7.3526,6.6198,5.8077,4.9956,4.1835,3.3714,3.3896,3.4157
Palau,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-2.4093,4.2341,9.3837,0.0,5.0,5.0,4.0,3.0,2.0
"Micronesia, Federated States Of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-3.4029,-3.4029,-1.1747,1.0536,0.7224,0.7182,0.8243,0.7121,0.6
"Marshall Islands, Republic Of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-1.074,0.3981,1.3791,1.7452,1.6724,1.5996,1.5505,1.4253,1.3
Maldives,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.6977,6.4794,5.6729,4.8664,4.0599,4.7157,4.7222,4.7799,4.7799
Kiribati,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.7822,2.4087,3.497,3.0747,2.4787,2.0142,1.488,1.6895,1.6895
Fiji,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.7356,5.2892,4.3,2.5,3.9,3.9,3.6,3.6,3.6
Bhutan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.5705,3.8181,5.2137,6.0285,6.4086,11.3427,13.877,8.5015,8.5015
Vietnam,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.4219,6.0506,6.6793,6.1,6.2,6.2,6.2,6.2,6.2
Thailand,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.7021,0.8176,2.8197,3.2341,3.2737,3.0972,3.0339,3.0339,3.0339
Singapore,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.6752,3.6817,2.6882,1.6947,2.2296,2.6417,2.6354,2.6354,2.6354
Philippines,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.064,6.2165,6.3083,6.4,6.6,6.8,6.8,6.8,6.8
Myanmar,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",8.4277,8.6997,8.386,8.0722,7.6961,7.7501,7.6222,7.6408,7.6594
Malaysia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.0127,6.0127,4.9677,4.3,4.5,4.7,4.9,5.0,5.0
Lao People'S Democratic Republic,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.968,7.5006,7.5593,7.4785,7.2638,7.2032,7.1427,7.0821,7.0971
Indonesia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.5573,5.0239,4.7939,4.9351,5.3,5.5001,5.7997,6.0002,6.0009
Cambodia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.4279,7.0715,7.0361,6.9919,6.9114,6.7949,6.7573,6.5191,6.285
Brunei Darussalam,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-2.1248,-2.3486,-0.5507,1.6982,3.9472,1.712,9.0642,13.0286,13.1712
Asean,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.059,4.9117,4.7645,4.8334,5.1084,5.2097,5.393,5.5286,5.5431
Nepal,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.1289,5.9889,2.7254,0.5606,4.0479,3.7666,3.82,3.7886,3.7886
Sri Lanka,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.3957,4.0908,4.7859,4.893,5.0,5.0,5.2,5.4,5.5
India,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.2435,7.2435,7.4301,7.6167,7.6081,7.6688,7.8275,7.9555,8.1222
Bangladesh,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.038,6.3141,6.8117,6.923,6.9615,7.0,7.0,6.7415,6.5
South Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.2079,6.8099,7.0819,7.197,7.2473,7.3292,7.4992,7.6142,7.7293
Taiwan Province Of China,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",0.6479,0.6479,0.6479,1.1564,1.6648,1.9346,2.2493,2.4963,2.7434
"Korea, Republic Of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.8962,3.3414,2.6119,2.7202,3.0381,3.0592,3.0077,2.9988,2.9824
"China, P.R.: Hong Kong","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.088,2.6819,2.4368,1.4385,1.8537,2.808,3.2201,3.0827,3.0827
"China, P.R.: Mainland","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.8,7.3,6.9,6.5881,6.1706,6.03,6.0,5.9,5.8
New Zealand,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.68,3.0216,2.999,2.7658,2.7066,2.5926,2.4941,2.5393,2.5393
Japan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",0.5393,0.5393,0.5393,0.5096,0.5626,0.6192,0.6758,0.1173,0.6128
Australia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.0056,2.6872,2.4438,2.87,2.6653,2.8928,2.9899,2.9442,2.8277
Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.7975,5.6155,5.4334,5.4005,5.3467,5.3675,5.4865,5.4853,5.5519
"Timor-Leste, Dem. Rep. Of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.8757,5.8611,4.251,5.0,5.5,6.0,6.5,6.0002,5.5003
